date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2021-08-06,0.027669374984883158,0.03514608837591449,0.008946444100127722,0.02235803420893155,0.004458051790128131,0.011319727368867027,0.0079952550949693,0.019120298008721594,0.009897705811945998,0.012891332392642613,0.0094116906230882,0.010933065928419066,0.013950095814805472,0.010573407246257584,0.1958351107147012,0.20146008696692863
2021-08-09,0.008033484096891301,-0.055380342388583394,-0.025580653462726824,-0.00958090641601025,-0.022868881121608026,-0.018093970601643392,-0.020172715678119187,-0.01890800275150443,-0.01936293150980799,-0.01925208887233192,-0.021164733965984967,-0.017749955658272996,-0.018970125138414434,-0.014846063691009563,0.19381332514583974,0.18704396459128117
2021-08-10,0.03296375120296511,-0.003881529315210636,-0.01300693020321249,-0.027892752094271257,-0.018866660163402636,-0.027134679825761277,-0.01611415252229545,-0.024237749321751875,-0.007756243878646583,-0.02077251189652513,-0.008351279007631345,-0.01612150663254272,-0.010203425213810065,-0.014177555537514418,0.20158071211879292,0.18768350243431078
2021-08-11,0.10776807584850566,0.034338957763269964,-0.012194437432476746,-0.04436110205903798,-0.015790311522231443,-0.023454817051507773,-0.01545606907786933,-0.026518362319079506,-0.010413025587915431,-0.026200736127897726,-0.009316477740494886,-0.025748995657817374,-0.009111556361832009,-0.023668555649585286,0.20954154849087753,0.19710121844389583
2021-08-12,0.16051315357904156,0.06682201372272152,-0.017181537225019375,-0.03250751585449286,-0.021516533826690717,-0.04504643571510216,-0.017373091811829357,-0.03550018406769793,-0.01595686014387823,-0.028210260145895935,-0.014471362234904226,-0.02781853233664012,-0.012653673551742732,-0.027684224819251604,0.21166017016639424,0.22320441988950276
2021-08-13,0.03244589498902296,-0.0010978948628606957,-0.013225608795230501,-0.002374097696312476,-0.013532286504395632,-0.0033857272153972363,-0.013541038875795967,-0.005655136672611024,-0.010268632801990345,-0.006360486746330761,-0.007754012742392837,-0.003717263639178462,-0.004892516591210891,-0.002418234356943654,0.20001584283903676,0.1860036832412523
2021-08-16,0.010957245701391257,0.0705367022975456,0.027513071071504178,0.06775785658152408,0.02092961043164876,0.04293727506726027,0.025358992906723825,0.03488460223915744,0.026090606744422883,0.028570450734628664,0.021174780472316804,0.024922347151246093,0.022730749399780825,0.023629151374525204,0.21022396136874533,0.1984360878619985
2021-08-17,0.04844616097217319,0.06604246812283916,0.03896337127207923,0.049336476424444796,0.02604600329290057,0.04261284146045347,0.028701348227083052,0.032036432635184194,0.026751018913270874,0.02842323893143774,0.023141676374792326,0.02717667024614005,0.023509463428563217,0.02484164489027693,0.21292154163799037,0.20292706924117573
2021-08-18,-0.007126472789689388,0.007893719132792949,0.027044502420425057,0.05415127796782523,0.009702914765534082,0.03581655080957043,0.018076365227786714,0.022565982640523032,0.018167858633189333,0.023650640407767164,0.0147939537358321,0.02351022471906418,0.018847480314468076,0.025474346787569,0.19630709426627793,0.1913676152942514
2021-08-19,-0.04004626392256324,0.029676767962644558,0.03487283997728259,0.0605063533077831,0.038152401928092584,0.043967185889426226,0.026993669101599185,0.04139051423847275,0.024592202355395925,0.041139027646777696,0.02256987692528902,0.03989591589205002,0.020414295698424435,0.03924330903044417,0.19058761369211608,0.17546907574704657
2021-08-20,-0.04786748079089273,0.0393515936727423,0.0045880623004715074,0.04536030763975213,0.010931261497804878,0.03730119633492941,0.015909703217996073,0.035028756123987925,0.016062310146901484,0.032496001801576864,0.017359219418058385,0.030272333977608753,0.01516644199148217,0.035236989601759854,0.192527640106748,0.16893587127421136
2021-08-23,-0.051830270941086505,0.03209980935102761,-0.006069296524989549,0.046325868092404895,-0.0052366933164482935,0.04125213795957357,0.016756755060375203,0.026378865208966786,0.01396815213120008,0.031123788438485886,0.014619653554639012,0.02868058715981852,0.009652992546609509,0.03364898917075953,0.19695787831513262,0.17143051123633649
